Date,Interest
jan. 2004,0
fev. 2004,0
mar. 2004,0
abr. 2004,0
mai. 2004,0
jun. 2004,0
jul. 2004,0
ago. 2004,0
set. 2004,0
out. 2004,0
nov. 2004,0
dez. 2004,0
jan. 2005,0
fev. 2005,0
mar. 2005,0
abr. 2005,0
mai. 2005,0
jun. 2005,0
jul. 2005,0
ago. 2005,0
set. 2005,0
out. 2005,0
nov. 2005,0
dez. 2005,0
jan. 2006,0
fev. 2006,0
mar. 2006,0
abr. 2006,0
mai. 2006,0
jun. 2006,0
jul. 2006,0
ago. 2006,0
set. 2006,0
out. 2006,0
nov. 2006,0
dez. 2006,0
jan. 2007,0
fev. 2007,0
mar. 2007,0
abr. 2007,0
mai. 2007,0
jun. 2007,0
jul. 2007,0
ago. 2007,0
set. 2007,0
out. 2007,0
nov. 2007,0
dez. 2007,0
jan. 2008,0
fev. 2008,0
mar. 2008,0
abr. 2008,0
mai. 2008,0
jun. 2008,0
jul. 2008,0
ago. 2008,0
set. 2008,0
out. 2008,0
nov. 2008,0
dez. 2008,0
jan. 2009,0
fev. 2009,0
mar. 2009,0
abr. 2009,0
mai. 2009,0
jun. 2009,0
jul. 2009,0
ago. 2009,0
set. 2009,0
out. 2009,0
nov. 2009,0
dez. 2009,70
jan. 2010,0
fev. 2010,0
mar. 2010,0
abr. 2010,0
mai. 2010,0
jun. 2010,0
jul. 2010,0
ago. 2010,0
set. 2010,0
out. 2010,0
nov. 2010,0
dez. 2010,0
jan. 2011,0
fev. 2011,0
mar. 2011,28
abr. 2011,19
mai. 2011,16
jun. 2011,0
jul. 2011,0
ago. 2011,0
set. 2011,0
out. 2011,18
nov. 2011,16
dez. 2011,0
jan. 2012,0
fev. 2012,20
mar. 2012,23
abr. 2012,23
mai. 2012,17
jun. 2012,17
jul. 2012,0
ago. 2012,0
set. 2012,0
out. 2012,0
nov. 2012,16
dez. 2012,12
jan. 2013,16
fev. 2013,15
mar. 2013,15
abr. 2013,19
mai. 2013,14
jun. 2013,0
jul. 2013,8
ago. 2013,10
set. 2013,0
out. 2013,8
nov. 2013,12
dez. 2013,0
jan. 2014,9
fev. 2014,0
mar. 2014,0
abr. 2014,8
mai. 2014,8
jun. 2014,0
jul. 2014,0
ago. 2014,0
set. 2014,13
out. 2014,0
nov. 2014,13
dez. 2014,10
jan. 2015,8
fev. 2015,9
mar. 2015,20
abr. 2015,14
mai. 2015,11
jun. 2015,16
jul. 2015,7
ago. 2015,0
set. 2015,0
out. 2015,6
nov. 2015,19
dez. 2015,44
jan. 2016,43
fev. 2016,100
mar. 2016,58
abr. 2016,31
mai. 2016,18
jun. 2016,10
jul. 2016,0
ago. 2016,8
set. 2016,8
out. 2016,12
nov. 2016,11
dez. 2016,9
jan. 2017,13
fev. 2017,9
mar. 2017,16
abr. 2017,11
mai. 2017,7
jun. 2017,0
jul. 2017,7
ago. 2017,5
set. 2017,0
out. 2017,12
nov. 2017,10
dez. 2017,0
jan. 2018,10
fev. 2018,8
mar. 2018,13
abr. 2018,10
mai. 2018,6
jun. 2018,5
jul. 2018,0
ago. 2018,5
set. 2018,0
out. 2018,9
nov. 2018,18
dez. 2018,7
jan. 2019,6
fev. 2019,10
mar. 2019,11
abr. 2019,16
mai. 2019,12
jun. 2019,8
jul. 2019,7
ago. 2019,6
set. 2019,0
out. 2019,6
nov. 2019,12
dez. 2019,10
